id,country,admin1,admin2,admin3,instance_wp,subdate_wp,latitude_wp,longitude_wp,elevation_wp,commid_wp,dataorg_wp,timepoint_wp,cwfunded_wp,cwid,wptype,pumptype,drillmethod,piped_source,piped_pump,rehabyn,qtyhh_wp,whomanage_wp,wp_age,rehab_age,qtypeople_wp,wateravailable,functional3,whynowatertoday_wp,whynowatertoday_wp_other,minutesfill20l,brokendays_wp,qtymonthsnowater_wp,downtime2weeks,lockedfullday_wp,pumpstrokes,photo_wp,grant_number_wp,wc_present_wp,paytocollect_wp,balance_any_dollars_wp,improved_wponly_wp,qtyhh_c_wp,wc_admin_index_wp,wc_finance_index_wp,wc_mgmt_index_wp,wc_maint_index_wp,wc_savings_wp,wpqty_wp,pop_1000,annual_rain,season
11,Ethiopia,Tigray,North Western,Tahtay Koraro,754510916,2019-12-19,14.17175362,38.34108705,1981,ABCO01,ET.RST,Grant endline (Sample 2: new construction),Yes,NA,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,42,Water committee,1,NA,210,Yes,Functional,NA,NA,0.833333333,NA,0,No,No,5,https://akvoflow-85.s3.amazonaws.com/images/98da8246-663a-48e0-8a14-28b4a216287e.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Ethiopia,Tigray,North Western,Tahtay Koraro,743510951,2019-12-18,14.125595,38.30651,1968.2,ARDA01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.258,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,43,Water committee,1,NA,276,Yes,Functional,NA,NA,1.833333333,NA,0,No,No,4,https://akvoflow-85.s3.amazonaws.com/images/5b3db352-9cff-4e9f-88ef-1fc8d74816b6.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,Ethiopia,Tigray,North Western,Tselemti,767941201,2019-12-21,13.588965,38.29384333,1449.7,SKTA01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.245,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,80,Water committee,1,NA,400,Yes,Functional,NA,NA,1.083333333,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/fdffecf1-7b00-49f0-ac05-6f33bf96f7db.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,Ethiopia,Tigray,North Western,Tahtay Koraro,758220917,2019-12-19,14.17157861,38.27722767,1866,ADHN01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.288,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,47,Water committee,1,NA,282,Yes,Functional,NA,NA,0.866666667,NA,0,No,No,3,https://akvoflow-85.s3.amazonaws.com/images/7d492af7-6f8b-4a14-890b-0c66bb152ce6.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,Ethiopia,Tigray,North Western,Laelay Adiyabo,760311000,2019-12-24,14.28795667,38.27189333,1746.2,ADGT01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.151,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,24,Water committee,1,NA,130,Yes,Functional,NA,NA,1.283333333,7,1,No,No,7,https://akvoflow-85.s3.amazonaws.com/images/75ef1a0a-48cb-4bee-ac9e-2b0d72beace8.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,Ethiopia,Tigray,North Western,Tselemti,768171002,2019-12-31,13.54154,38.26798833,1414.2,SLSE01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.496,Protected spring,NA,NA,NA,NA,No,43,Water committee,1,NA,258,Yes,Partially functional,NA,NA,6,NA,0,No,Yes,NA,https://akvoflow-85.s3.amazonaws.com/images/475029dc-a55f-4a77-87b6-883397477bcd.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,Ethiopia,Tigray,North Western,Asgede Tsimbla,756230929,2019-12-20,13.89406809,38.25737765,1520,SQDB01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.213,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,82,Water committee,1,NA,504,Yes,Functional,NA,NA,1.3,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/4a39a858-f6ef-4b1e-bfe6-55e3a33417ce.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,Ethiopia,Tigray,North Western,Tahtay Koraro,745390933,2019-12-18,14.07209833,38.255425,1892.3,CHMY01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.273,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,50,Water committee,1,NA,294,Yes,Functional,NA,NA,3,5,1,No,No,5,https://akvoflow-85.s3.amazonaws.com/images/fc9af050-aee4-48be-98f2-ee2504b3b524.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,Ethiopia,Tigray,North Western,Tahtay Koraro,749400935,2019-12-18,14.13835333,38.253225,1834.4,ADEM01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.275,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,120,Water committee,1,NA,300,Yes,Functional,NA,NA,2.716666667,7,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/0df8a802-8e28-45f0-ab66-9982ddcd65a9.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,Ethiopia,Tigray,North Western,Laelay Adiyabo,758211203,2019-12-19,14.32948167,38.23687333,1755.4,ADGD01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.16,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,95,Water committee,1,NA,400,Yes,Functional,NA,NA,1.016666667,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/51c78519-f9e6-4894-b957-29c2b50de570.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,Ethiopia,Tigray,North Western,Asgede Tsimbla,756230932,2019-12-20,13.93865365,38.22987193,1762,BETM02,ET.RST,Grant endline (Sample 2: new construction),Yes,258.497,Protected spring,NA,NA,NA,NA,No,78,No one,0.5,NA,390,Yes,Partially functional,NA,NA,NA,NA,0,No,No,NA,https://akvoflow-85.s3.amazonaws.com/images/92e02856-1f77-4d42-947d-aab305244f6a.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Ethiopia,Tigray,North Western,Asgede Tsimbla,773810929,2019-12-21,14.04022652,38.21475182,1810,ADGU01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.225,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,100,Water committee,1,NA,500,Yes,Functional,NA,NA,1.2,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/43e5e50c-c8ee-4f7d-a9ee-5d5b6cdf2160.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Ethiopia,Tigray,North Western,Tahtay Koraro,756190950,2019-12-19,14.09379167,38.19345167,1765.7,GUBL02,ET.RST,Grant endline (Sample 2: new construction),Yes,258.265,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,48,Water committee,1,NA,256,Yes,Functional,NA,NA,1.45,NA,0,No,No,1,https://akvoflow-85.s3.amazonaws.com/images/f9b1c1ef-5976-4a2e-a826-5f9fceb02fb1.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Ethiopia,Tigray,North Western,Asgede Tsimbla,783850930,2019-12-31,13.92218233,38.1851896,1718,MRKO01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.493,Protected spring,NA,NA,NA,NA,No,38,Water committee,0.5,NA,252,Yes,Partially functional,NA,NA,NA,NA,0,No,No,NA,https://akvoflow-85.s3.amazonaws.com/images/cf3a5d2f-59e3-4643-b257-bc199ca3f9b3.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Ethiopia,Tigray,North Western,Laelay Adiyabo,761871129,2019-12-19,14.233305,38.17685167,1726,GDLO01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.148,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,55,Water committee,1,NA,220,Yes,Functional,NA,NA,1.2,NA,0,No,No,3,https://akvoflow-85.s3.amazonaws.com/images/f1d451ee-5bcb-4eb0-973d-d85427727fb9.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Ethiopia,Tigray,North Western,Laelay Adiyabo,765901552,2019-12-23,14.35182833,38.06411167,1190.6,ABEG02,ET.RST,Grant endline (Sample 2: new construction),Yes,258.163,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,37,Water committee,1,NA,188,Yes,Functional,NA,NA,1.583333333,NA,0,No,No,3,https://akvoflow-85.s3.amazonaws.com/images/d046ef67-4b48-4376-9810-8a2194cac020.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Ethiopia,Tigray,North Western,Asgede Tsimbla,745451196,2019-12-20,13.88652167,38.01889,1341.8,GRSH01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.216,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,45,Water committee,1,NA,225,Yes,Functional,NA,NA,0.983333333,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/eaeca598-f128-45c2-9c90-c20fda3f43af.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Ethiopia,Tigray,North Western,Laelay Adiyabo,747411002,2019-12-20,14.22524833,37.968385,1026.9,AWHI01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.37,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,53,Water committee,0.5,NA,325,Yes,Functional,NA,NA,0.95,NA,0,No,No,1,https://akvoflow-85.s3.amazonaws.com/images/117cef9a-dc68-4ccf-bf62-fdfd8f0eca46.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Ethiopia,Tigray,North Western,Tahtay Adiyabo,743781115,2019-12-30,14.38744167,37.87877333,1114.9,MHRS02,ET.RST,Grant endline (Sample 2: new construction),Yes,258.5,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,0,School,1,NA,460,Yes,Functional,NA,NA,1.333333333,NA,0,No,No,3,https://akvoflow-85.s3.amazonaws.com/images/8b6aaf52-a422-4866-b9f9-b1005ff3c120.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Ethiopia,Tigray,North Western,Asgede Tsimbla,754541103,2019-12-20,14.034975,37.85179167,1123.8,DGDN01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.231,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,50,Water committee,1,NA,250,Yes,Functional,NA,NA,1.033333333,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/5204da9a-7d76-46d3-9a76-b0cdb358619c.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,Ethiopia,Tigray,North Western,Tahtay Adiyabo,773860996,2019-12-23,13.88779587,37.12279251,1650,ADTS01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.189,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,45,Water committee,0.5,NA,270,Yes,Functional,NA,NA,0.966666667,NA,0,No,No,1,https://akvoflow-85.s3.amazonaws.com/images/6d7410a0-8543-4ea2-a15d-e81a8ed819fc.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,Ethiopia,Tigray,South Eastern,Hintalo Wejirat,753280970,2019-12-15,13.04003667,39.67281667,2208.5,MMET01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.303,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,70,Water committee,1,NA,280,Yes,Functional,NA,NA,1.116666667,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/c479a0cb-e5eb-474a-a09a-539d228b6d04.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,Ethiopia,Tigray,South Eastern,Hintalo Wejirat,745330965,2019-12-15,13.368575,39.34447,2237.2,MSRT01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.403,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,35,Water committee,0.5,NA,210,Yes,Functional,NA,NA,1.016666667,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/5131b12c-6708-4e38-95b8-37c10d843fa5.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Ethiopia,Tigray,South Eastern,Saharti Samre,725750965,2019-12-15,13.24822333,39.20267667,1779.6,FTSE01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.411,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,63,Water committee,1,NA,377,Yes,Functional,NA,NA,2,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/6b0d415b-7455-4e35-a196-f436d13d42e0.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,Ethiopia,Tigray,South Eastern,Saharti Samre,776500926,2020-01-04,13.30204333,39.20129667,2020.2,TSAH01,ET.RST,Grant endline (Sample 2: new construction),Yes,NA,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,49,Water committee,1,NA,349,Yes,Functional,NA,NA,0.666666667,NA,0,No,No,1,https://akvoflow-85.s3.amazonaws.com/images/27ea236c-23dd-4e3c-b269-990e5fdce2c8.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,Ethiopia,Tigray,Southern,Raya Azebo,760490955,2020-01-03,12.43515895,39.74038325,1722,BALA02,ET.RST,Grant endline (Sample 2: new construction),Yes,258.523,Public tap / standpipe,NA,NA,Borehole,Electric powered pump,No,20,Vendor,1,NA,120,Yes,Partially functional,NA,NA,NA,30,0,Yes,Yes,NA,https://akvoflow-85.s3.amazonaws.com/images/94f58866-6d07-409c-8e44-e5616af8fae5.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,Ethiopia,Tigray,Southern,Raya Azebo,782260921,2020-01-10,12.43663333,39.677365,1421.2,QULT02,ET.RST,Grant endline (Sample 2: new construction),Yes,258.512,Public tap / standpipe,NA,NA,Borehole,Solar powered pump,No,90,Water committee,1,NA,455,Yes,Partially functional,NA,NA,6.166666667,7,0,No,No,NA,https://akvoflow-85.s3.amazonaws.com/images/daa3b176-4ff9-4cfe-ae61-9797af6b7276.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,Ethiopia,Tigray,Southern,Raya Azebo,779910985,2020-01-04,12.61741484,39.65227394,1593,KUKU02,ET.RST,Grant endline (Sample 2: new construction),Yes,258.518,Public tap / standpipe,NA,NA,Borehole,Electric powered pump,No,53,Water committee,1,NA,318,Yes,Partially functional,NA,NA,NA,NA,0,No,No,NA,https://akvoflow-85.s3.amazonaws.com/images/6f7d299a-4273-45e5-829c-d156fd1e6b27.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,Ethiopia,Tigray,Southern,Raya  Alamata,758401470,2020-01-04,12.48701531,39.62560734,1458,MKAD01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.347,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,39,Water committee,1,NA,273,Yes,Functional,NA,NA,1.216666667,NA,2,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/c4941b85-3882-43ed-9475-709cdf55d039.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,Ethiopia,Tigray,Southern,Ofla,747631030,2020-01-03,12.61165667,39.516005,2495.1,ADAB01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.361,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,56,Water committee,1,NA,280,Yes,Functional,NA,NA,1.066666667,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/4d21030e-17e7-47f2-bab6-f240ba65d71c.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,Ethiopia,Tigray,Southern,Ofla,770080941,2020-01-03,12.56414167,39.512755,2710.7,BHTS01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.369,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,45,Water committee,0.5,NA,239,Yes,Functional,NA,NA,1.4,NA,0,No,No,5,https://akvoflow-85.s3.amazonaws.com/images/eadb392c-106a-4e55-b3dd-8de594cb37c5.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,Ethiopia,Tigray,Southern,Ofla,764750924,2020-01-09,12.63405,39.50510167,2522.5,DBRI01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.461,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,41,Water committee,1,NA,210,Yes,Functional,NA,NA,1.183333333,NA,0,No,No,3,https://akvoflow-85.s3.amazonaws.com/images/7fdbb117-6f30-4305-bb41-a2223eaceb29.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,Ethiopia,Tigray,Southern,Alaje,762351011,2020-01-02,12.91537167,39.47901,2592,GLHT01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.413,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,76,Water committee,1,NA,380,Yes,Functional,NA,NA,1.083333333,NA,0,No,No,3,https://akvoflow-85.s3.amazonaws.com/images/713da8d1-af0b-4a6c-9fa6-06ba6202e87e.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,Ethiopia,Tigray,Western,Asgede Tsimbla,743781090,2019-12-30,14.03628107,38.20962251,1827,AERA02,ET.RST,Grant endline (Sample 2: new construction),Yes,258.498,Protected spring,NA,NA,NA,NA,No,38,Water committee,1,NA,228,Yes,Partially functional,NA,NA,NA,NA,0,No,No,NA,https://akvoflow-85.s3.amazonaws.com/images/4f91b607-e9a7-415b-8a6f-787612684378.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,Ethiopia,Tigray,Western,Tsegede,754661131,2019-12-27,13.59792728,37.64177045,988,ADWB01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.079,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,60,Water committee,1,NA,300,Yes,Functional,NA,NA,0.9,NA,2,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/8257c8f5-5f8f-49d7-8162-18fd1dafceab.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,Ethiopia,Tigray,Western,Tsegede,735711271,2019-12-27,13.59511167,37.64129167,946.9,AWPS01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.499,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,0,School,0.5,NA,532,Yes,Functional,NA,NA,0.633333333,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/53df6830-426f-4926-b0cd-a52ced65aec1.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,Ethiopia,Tigray,Western,Tsegede,743760962,2019-12-27,13.518855,37.58450833,1133.8,ADEK01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.022,Protected dug well with hand pump,Afridev,Hand-dug,NA,NA,No,40,Water committee,1,NA,220,Yes,Functional,NA,NA,1.966666667,NA,0,No,No,5,https://akvoflow-85.s3.amazonaws.com/images/9891d515-7ccf-4500-a87f-f55189e6e13b.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,Ethiopia,Tigray,Western,Welkait,749641167,2019-12-26,13.56449167,37.548135,2007.3,LLCH01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.108,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,65,Water committee,0.5,NA,397,Yes,Functional,NA,NA,0.766666667,NA,0,No,No,2,https://akvoflow-85.s3.amazonaws.com/images/d4dc3c8d-eb50-4b65-b25a-cd4b72568ba7.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Ethiopia,Tigray,Western,Welkait,749691299,2019-12-28,13.51753333,37.50777833,2030.4,KINO02,ET.RST,Grant endline (Sample 2: new construction),Yes,258.109,Borehole with hand pump,Afridev,Manually drilled,NA,NA,No,45,Water committee,1,NA,215,Yes,Functional,NA,NA,0.716666667,NA,0,No,No,3,https://akvoflow-85.s3.amazonaws.com/images/d9490b15-a6ff-44a7-9c3d-9e92e5c99494.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Ethiopia,Tigray,Western,Tsegede,764211105,2019-12-26,13.43786675,37.40288009,2551,ZWA01,ET.RST,Grant endline (Sample 2: new construction),Yes,258.034,Protected dug well with hand pump,Afridev,Hand-dug,NA,NA,No,45,Water committee,1,NA,270,Yes,Functional,NA,NA,1.166666667,NA,0,No,No,1,https://akvoflow-85.s3.amazonaws.com/images/944bf92c-6f77-4417-8b5f-4abe2ece35e4.jpg,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
